head,preposition,noun,occurrences,score
Chatten,an,Arbeitsplatz,2,2.41
Platz,in,Tribunat,1,1.205
Übergang,zu,spanisch,1,1.205
Übergang,von,spanisch,1,1.205
Saratoga,in,Norden,1,1.205
Abschnitt,zu,Außengrenze,1,1.205
Beteiligung,an,Eigentum,1,1.205
Errichtung,in,Mittelmeerraum,1,1.205
Bericht,von,Mordtag,1,1.205
Teilnahme,an,Leben,1,1.205
Bestrebung,zu,Wiedergewinnung,1,1.205
Unterhalten,in,Meer,1,1.205
Gebäude,in,Stadtzentrum,1,1.205
Entscheidung,zu,Brexit,1,1.205
Sozialist,in,Programm,1,1.205
Sitz,in,Vorstand,1,1.205
Gegensatz,zu,Durchschnittswert,1,1.205
Bemerkung,zu,Inhalt,1,1.205
Abkommen,zu,Stadtentwicklung,1,1.205
der,von,Oktober,1,1.205
Plan,zu,Schaffung,1,1.205
Beginn,in,Dezember,1,1.205
Sitz,in,Repräsentantenhaus,1,1.205
Geiseldrama,in,Iran,1,1.205
Club,zu,Singen,1,1.205
Rückkehr,zu,Höchstform,1,1.205
Nr.,in,Königreich,1,1.205
Recht,an,Eigentum,1,1.205
Dreharbeit,in,Jahr,1,1.205
Allianz,zu,Befreiung,1,1.205
Erklärungen,zu,Ursprung,1,1.205
Posten,in,Westen,1,1.205
Schule,in,Sekundarbereich,1,1.205
Sonnenaufgang,zu,Sommersonnenwende,1,1.205
Kampf,in,Mittelmeer,1,1.205
Sendung,in,Kinderfernsehen,1,1.205
Datum,in,Mondkalender,1,1.205
Schlickablagerung,in,Kanal,1,1.205
Programm,zu,Überwachung,1,1.205
Bericht,zu,Kampf,1,1.205
Fall,in,Jahr,1,1.205
Gegensatz,zu,Nordsee,1,1.205
Südsee,in,Gegensatz,1,1.205
Entdeckung,in,Jahr,1,1.205
Zeremonie,an,Palmsonntag,1,1.205
Kultur,in,Zentrum,1,1.205
Zugang,zu,Meer,1,1.205
Nähe,zu,Meer,1,1.205
verbreitet,an,weit,1,1.205
Malediven,in,Ozean,1,1.205
